screen_name,location,created_at,language,created_year
tylus_allen8,,2017-06-20 19:31:25,,2017
LerumTK96,,2011-11-14 18:33:29,,2011
MLErnest,"Far, Far Away",2012-03-05 14:28:09,,2012
AndyLilburn,,2012-08-10 14:16:41,,2012
Hanzoda3rd,"Houston, TX",2012-07-28 12:36:17,,2012
rochabarr77,México,2017-10-13 02:00:18,,2017
SandaAlp,"Bodrum, Türkiye",2018-03-13 14:24:15,,2018
tarunjaipal_,worldwide ,2015-09-08 11:55:20,,2015
cyzwe12,,2015-03-19 07:12:35,,2015
Jinks116,,2009-06-28 20:00:00,,2009
juventino0608,"Rome, Lazio",2013-07-26 15:08:42,,2013
chiragsolanki02,"Dabhoi, India",2015-03-13 15:56:43,,2015
Rodrigo120886,,2012-12-02 22:49:54,,2012
MarcoRuffoli,Giappone,2012-12-27 08:34:59,,2012
rs_bajwa13,,2014-01-31 05:17:22,,2014
Mduduzi00077260,South Africa,2018-02-12 09:35:48,,2018
maahipreet,India,2010-12-07 11:30:54,,2010
clarkhands,Birmingham UK,2013-07-20 08:38:47,,2013
Solomon87802369,"London, England",2017-12-10 07:03:26,,2017
Collin_L,,2011-05-13 09:21:21,,2011
Msfer_Mhdi,المملكة العربية السعودية,2018-01-02 15:16:15,,2018
SUBODH_KMR_RAI,"Guwahati,Assam",2010-04-14 12:37:36,,2010
Eugene03086278,,2017-06-15 06:10:14,,2017
spartanvikas,Bangalore ,2008-01-28 10:27:28,,2008
4KUNIVERSE_,America,2016-01-10 07:16:19,,2016
demademima,,2009-10-08 23:49:04,,2009
YSteenz,,2009-08-07 08:52:00,,2009
paras50464396,,2016-03-29 08:25:33,,2016
BobMaso87227855,,2018-01-29 20:27:35,,2018
kritianewme,Southampton ~ New Delhi,2011-02-12 09:23:26,,2011
saisavalli786,INDIA ,2015-05-29 07:04:01,,2015
shauntelp,South Africa,2009-03-18 11:10:01,,2009
zaaymilly,nj.🛫atl. ,2010-12-09 23:12:46,,2010
karthik6988,"Madipakkam Chennai, India",2017-03-03 15:22:21,,2017
lllFSF,🇦🇪💞,2010-11-10 06:37:28,,2010
DavidWright_6,shropshire,2011-01-09 23:31:55,,2011
nduduzo2002,"Pretoria,sunnyside",2012-09-13 17:37:20,,2012
edubes1,España-Zaragoza,2011-08-18 11:22:01,,2011
dodoal1989,"Blaine, MN",2016-07-04 00:55:08,,2016
CA_Rushabhmodi,"Surat, India",2014-09-05 12:11:52,,2014
twmichoacan2021,"Michoacán de Ocampo, México",2017-09-20 01:39:16,,2017
Jsdlchandauli,"Mughalsarai, India",2014-01-02 09:52:01,,2014
IolandaRuggiero,,2009-03-16 14:42:16,,2009
karobaper,,2010-12-01 00:20:35,,2010
CamioQuintero,,2013-09-05 21:51:16,,2013
bigboatbull1,,2018-06-26 20:51:39,,2018
Huleshlil,Raipur Chhattisgarh ,2013-10-08 12:08:52,,2013
steamtrain79,,2015-04-20 12:16:04,,2015
wasserwissenat,Österreich,2017-06-30 21:26:05,,2017
TeffoTshepo,,2013-02-06 09:31:56,,2013
